,Term,fdr,es,nes
0,negative regulation of microtubule depolymerization (GO:0007026),0.0,0.8163379092402893,1.9796286356292772
1,cristae formation (GO:0042407),0.0,0.6954937049558041,2.2685651059443592
2,regulation of microtubule depolymerization (GO:0031114),0.0,0.7398556241301996,2.09240505982175
3,response to muscle stretch (GO:0035994),0.0,0.8431777281916681,2.6104985602395816
4,mitochondrial ATP synthesis coupled proton transport (GO:0042776),0.013053933356234972,0.8113938567426316,1.9438263748529703
5,regulation of extracellular matrix disassembly (GO:0010715),0.03768411128184274,-0.9419550285225899,-1.4164342724265002
6,endothelial cell development (GO:0001885),0.05181565301253378,-0.9097057298843438,-1.4069965702864893
7,positive regulation of dephosphorylation (GO:0035306),0.056526166922764125,-0.8952939671636075,-1.4189031863187567
8,endothelial cell proliferation (GO:0001935),0.062283461701934544,-0.883125177125446,-1.3692656769035312
9,ethanol metabolic process (GO:0006067),0.06509073766863747,-0.9002387789758157,-1.3785190127279616
10,regulation of interleukin-12 production (GO:0032655),0.06594719474322482,-0.8525318052872939,-1.3699839495261872
11,eye morphogenesis (GO:0048592),0.06594719474322482,-0.9175227299441708,-1.3694859320210107
12,regulation of NLRP3 inflammasome complex assembly (GO:1900225),0.06688929752527088,-0.8908726179720589,-1.379585705761768
13,protein trimerization (GO:0070206),0.06908753735004504,-0.9393453253431997,-1.3702658172121198
14,protein homotrimerization (GO:0070207),0.06908753735004504,-0.9393453253431997,-1.3702658172121198
15,negative regulation of B cell activation (GO:0050869),0.07065770865345515,-0.8960116560511802,-1.3858168032662899
16,positive regulation of G1/S transition of mitotic cell cycle (GO:1900087),0.07348401699959335,-0.8967965781539615,-1.3990854105174992
17,necroptotic process (GO:0070266),0.07432144169474542,-0.8967743044738035,-1.3799738283135359
18,positive regulation of leukocyte activation (GO:0002696),0.07487237899418758,-0.8932971509606747,-1.363101696115971
19,regulation of T cell receptor signaling pathway (GO:0050856),0.07615330821539056,-0.8682214682459214,-1.3734506146891317
20,programmed necrotic cell death (GO:0097300),0.0767813767367546,-0.8910632070797571,-1.3616596457894168
21,regulation of DNA replication (GO:0006275),0.07897038025974398,-0.8450474697248977,-1.3460779965562193
22,activation of NF-kappaB-inducing kinase activity (GO:0007250),0.07971638925005198,-0.8902551938407673,-1.370347169908156
23,positive regulation of nervous system process (GO:0031646),0.07985442628771439,-0.8903951456989566,-1.3603722993687557
24,regulation of myelination (GO:0031641),0.0805069650112095,-0.8498840688159569,-1.3463906563857915
25,positive regulation of macrophage activation (GO:0043032),0.08075166703252018,-0.8928991900562786,-1.386171928275097
26,negative regulation of osteoclast differentiation (GO:0045671),0.08227697629869,-0.8707193359375368,-1.3482049678275099
27,positive regulation of extracellular matrix organization (GO:1903055),0.08272840054842041,-0.9000675437799583,-1.3468210304601114
28,regulation of neuroinflammatory response (GO:0150077),0.08478925038414618,-0.869987625127665,-1.347073481137151
29,negative regulation of protein dephosphorylation (GO:0035308),0.0847892503841462,-0.9253743704214232,-1.4230424087179026
30,positive regulation of cell cycle G1/S phase transition (GO:1902808),0.08511411341243794,-0.8613075152803924,-1.3482803363940234
31,camera-type eye development (GO:0043010),0.08546218094275053,-0.8731808230967552,-1.349293307932218
32,establishment of endothelial barrier (GO:0061028),0.0863594216875563,-0.8920816269234384,-1.390840859692299
33,granulocyte differentiation (GO:0030851),0.08682123677679458,-0.8524731961108074,-1.3312001172950785
34,negative regulation of toll-like receptor signaling pathway (GO:0034122),0.0872317390783397,-0.8450824332125406,-1.3497550458147913
35,positive regulation of cytosolic calcium ion concentration involved in phospholipase C-activating G protein-coupled signaling pathway (GO:0051482),0.08742713817387518,-0.8487985371393002,-1.3317979215500995
36,prostanoid biosynthetic process (GO:0046457),0.08909600595921394,-0.881518420394847,-1.341768635232074
37,regulation of protein import into nucleus (GO:0042306),0.08913741707051266,-0.8589500563739464,-1.3502672425609799
