Gene,Rank
LERFS,3.724531214552799
GOLGA8T,9.221793285780662e-07
COX20P1,9.086622847275517e-07
RFPL4A,8.94968845010941e-07
HS3ST6,8.934082373534685e-07
LNCDAT,8.729724993570844e-07
SORD2P,8.126460137547541e-07
MIR3178,7.877743515271962e-07
TERLR1,7.609609840851493e-07
TLL2,7.49505093620526e-07
BNIP3P9,7.270860355994608e-07
HOXB-AS4,7.254706827412253e-07
RN7SL193P,7.223341219888122e-07
CSAG1,7.04514980404559e-07
SOX1,7.031854116234687e-07
RPL7AP14,6.98245568042796e-07
AC005592.1,6.960327433208835e-07
AL121888.1,6.896015910153502e-07
AF015720.1,6.85272217723109e-07
SPATA46,6.827277118196172e-07
KRT19P2,6.81491226585929e-07
RN7SL215P,6.757334921009692e-07
AC099542.1,6.725428331729164e-07
DRD3,6.72191954738318e-07
AL590550.1,6.708601525274912e-07
OPN5,6.644357873012672e-07
H3P1,6.638081443351411e-07
DPRX,6.630461273550326e-07
RN7SL313P,6.618243148433266e-07
RPL5P10,6.605687615610636e-07
MAG,6.573884327562403e-07
AC116609.2,6.560764300494763e-07
AC104758.4,6.548405902014389e-07
TRPC6P3,6.537048346681279e-07
AC087379.1,6.52993981627162e-07
RN7SKP282,6.524591892520722e-07
SRSF3P6,6.511719036693742e-07
AP002768.1,6.506340746074756e-07
IGLV9-49,6.443411146224509e-07
UBE2U,6.411513537674346e-07
AC090164.3,6.347651172600457e-07
IGLV3-25,6.267289945212302e-07
AC104088.2,6.220174473616545e-07
AQP7P2,6.218534778218929e-07
LINC00487,6.212864358371302e-07
C19orf33,6.206832247912979e-07
MIR4300HG,6.144572676774893e-07
BRIX1P1,6.112889030890816e-07
SPRR2B,6.094799399729622e-07
AC137590.2,6.06439112274854e-07
AL078612.2,6.032590248681922e-07
MIR5680,6.027420638434178e-07
ZAN,6.022865947492906e-07
RNU6-732P,6.000157179261628e-07
PHF5FP,5.992917970155676e-07
RNU6-869P,5.896650630168537e-07
LINC01812,5.893433242027243e-07
SLC17A2,5.8901874761333e-07
AL133405.1,5.86668713776571e-07
LINC02266,5.855164919380238e-07
MTCO1P23,5.854798047977831e-07
RNA5SP399,5.82938040519685e-07
VSTM2A-OT1,5.817973982345756e-07
LINC02582,5.801472159023441e-07
LRRC55,5.787874890988806e-07
AF250324.1,5.784360205591703e-07
PSPHP1,5.78310943121375e-07
GOLGA6L3,5.778160918388314e-07
RPS6P7,5.767604635676907e-07
ZBTB2P1,5.734815933255701e-07
TBXT,5.727928140345601e-07
CTAGE12P,5.716972700674428e-07
LINC01581,5.695001994354774e-07
CYP2T3P,5.692002114736517e-07
AC089998.1,5.688736017582245e-07
AC009509.2,5.687794705071071e-07
RNA5SP157,5.685333335929587e-07
NUP35P1,5.673048268815221e-07
MTND6P25,5.672820451980882e-07
RPS26P3,5.646005588356476e-07
LCN1,5.639682035339174e-07
AC018616.1,5.638440539658655e-07
AL731533.3,5.632394668192019e-07
RNU2-51P,5.622747884168736e-07
PRPF4BP1,5.619438149700029e-07
RPL10AP5,5.616111680428097e-07
CYCSP26,5.608532693165252e-07
IGHD,5.597917599686775e-07
KRT8P48,5.580404592734329e-07
ASH2LP3,5.515552090084367e-07
FAM88F,5.502511435898216e-07
SSTR4,5.495652183655463e-07
AC113410.2,5.494309712272383e-07
RPL21P109,5.481902914716302e-07
CSP1,5.472938926580711e-07
Z98259.3,5.471244643543971e-07
AC022874.1,5.461324416363211e-07
CYP1A1,5.459333165756982e-07
LINC01580,5.458385680251442e-07
AC025871.3,5.428298760446746e-07
AC147067.2,5.427636977406143e-07
CEACAMP1,5.423308039663928e-07
RNU6-988P,5.414352074820984e-07
TRBV15,5.398918175249033e-07
MIR376A1,5.394149124432959e-07
OSTCP3,5.393485658391293e-07
FP565260.3,5.376005240503421e-07
SOD1P3,5.369068509895861e-07
AC104167.1,5.367772310938769e-07
RNU6-358P,5.365815704860245e-07
AC091010.1,5.341238989520297e-07
PRELID3BP4,5.337465437514325e-07
AC116312.1,5.335106176999157e-07
LINC01668,5.332355358909889e-07
AC239800.2,5.311555615953122e-07
GAS2L2,5.310266190174407e-07
H1-6,5.309742809116378e-07
SLC25A1P1,5.308153690057649e-07
FAM3B,5.289879108455606e-07
LINC02570,5.286478728524592e-07
DEFA6,5.284767592834675e-07
MIR4648,5.278871934489551e-07
AC004147.5,5.2659766564711e-07
RN7SL823P,5.25739903793887e-07
ERICH5,5.255249175682573e-07
AC034232.2,5.24635117316734e-07
VTRNA1-2,5.243985627684433e-07
UMODL1-AS1,5.239645469859381e-07
TRBV7-4,5.231360163835481e-07
RNU6-1141P,5.225873056682893e-07
RNU1-105P,5.221689141992066e-07
AC093515.1,5.220364496342008e-07
AL121888.2,5.20464679150922e-07
RN7SL107P,5.195298936714237e-07
AC004449.1,5.18576034059636e-07
AL691482.3,5.179876122252021e-07
AC099568.1,5.177078745563169e-07
LYPD9P,5.168619048095694e-07
LINC00851,5.158278781635363e-07
SH3TC2-DT,5.153367065973514e-07
DNAJB8-AS1,5.152036551027848e-07
LARP1P1,5.151436052756267e-07
KRT18P11,5.147211530004663e-07
AC090193.1,5.139273296908743e-07
AC002056.2,5.135402898018315e-07
AC013726.1,5.132264703551245e-07
RAC1P9,5.131822925696748e-07
EGFLAM-AS1,5.131307880305732e-07
MYL6P4,5.126538749744349e-07
HID1-AS1,5.123588059611259e-07
RNU6-1340P,5.120261991509235e-07
AL139081.2,5.118351484523367e-07
AC103808.5,5.114087516512463e-07
EVA1A-AS,5.113495957065703e-07
RNA5SP172,5.112827630100305e-07
NAALADL2-AS1,5.111273457520187e-07
ANO4,5.109054750642338e-07
VSTM2A,5.102128586391858e-07
RSPH10B2,5.101607597965257e-07
IMMP1LP2,5.098732821651874e-07
TRAJ51,5.098089458105656e-07
AL161729.2,5.095708837401158e-07
AC005379.1,5.094159249992112e-07
RNA5SP508,5.076651088721182e-07
IL1RAPL2,5.065278901601255e-07
PHC2-AS1,5.062438686801901e-07
IGLCOR22-2,5.056839517718603e-07
RN7SL428P,5.03680385622115e-07
DUSP12P1,5.034686309603393e-07
ZFP57,5.030587613516456e-07
PRR9,5.030357137993347e-07
LINC01060,5.028503928779189e-07
SLC4A11,5.027881839054442e-07
CCKBR,5.013741056594173e-07
SRSF8CP,5.008539515247205e-07
WNT6,5.007190042732289e-07
OR7A8P,5.00421764315343e-07
AIFM1P1,4.998815032401113e-07
TRAV26-1,4.996059708168987e-07
AL365184.1,4.989081993757208e-07
LDHC,4.975804638868185e-07
AC083841.1,4.961078841318515e-07
AC022081.1,4.951822381838535e-07
AC073172.1,4.94634599216807e-07
AC016766.1,4.941051923738025e-07
PADI6,4.939191312449735e-07
THEM7P,4.93861745340493e-07
AC068413.1,4.936344611936481e-07
LINC01322,4.93484593911575e-07
GRIFIN,4.932649013127543e-07
GATA5,4.932526795124489e-07
AC103796.1,4.931717428274147e-07
AC145141.1,4.931717428274147e-07
ARPP19P1,4.917557025576068e-07
AC011466.2,4.917044652339062e-07
AP004247.2,4.914419434740526e-07
AGR2,4.912168035937544e-07
MKX-AS1,4.907387234969185e-07
AC084335.1,4.903318363681945e-07
AP000365.1,4.902714044836869e-07
Z97192.4,4.894085019325556e-07
TRPM2-AS,4.889202665551215e-07
OR5H2,4.886422634935763e-07
LIN28AP1,4.880973565504557e-07
LINC00525,4.880401678682472e-07
TDH-AS1,4.876702079005291e-07
AC006974.1,4.876495463319697e-07
RNU4-27P,4.867395105905087e-07
DNM1P51,4.864894688808083e-07
AL133329.1,4.8583695155953e-07
AP001893.3,4.842703262146358e-07
RNA5SP497,4.83580729106839e-07
AC064805.2,4.831178766414986e-07
SLC6A14P2,4.814190785357729e-07
CYP1A2,4.814070015240402e-07
AC008083.2,4.813300593272682e-07
MIR548AQ,4.812060275409859e-07
AL805961.1,4.808836210167538e-07
SHANK2-AS1,4.806537619222645e-07
AL359853.1,4.800344195611578e-07
RNF7P1,4.798677990198297e-07
LINC01975,4.798677990198297e-07
COX6CP7,4.795614823856613e-07
AC125421.1,4.793630341529311e-07
RPS27AP17,4.790533962943742e-07
MIR558,4.789620864283039e-07
RPS26P43,4.789409671046998e-07
MIR4755,4.7851028366566e-07
ZDHHC20P2,4.783415185095404e-07
OR2A3P,4.781237138072514e-07
TMEM212,4.7680587271191775e-07
AL138749.1,4.765335921743591e-07
RNU6-1306P,4.764016203857584e-07
LINC01659,4.7614718096571335e-07
BMS1P12,4.751481992423234e-07
FBP2,4.7494239188960915e-07
ANKRD20A17P,4.745494750193242e-07
MIR126,4.7400816277930816e-07
C3orf56,4.7286781814730665e-07
OR2F1,4.726219589812319e-07
AC009487.1,4.721618173675594e-07
RSL24D1P2,4.719009228614118e-07
RNU6-103P,4.717621573463723e-07
AC093898.1,4.714606543928576e-07
AP001554.1,4.7114026826050767e-07
AP001790.1,4.7093042857952513e-07
MIR8089,4.7004968592440165e-07
RN7SL541P,4.698780099848692e-07
CYCSP20,4.6984433218708774e-07
PGBD4P2,4.6984433218708774e-07
RNU1-64P,4.6984433218708774e-07
EIF3MP1,4.697415905575653e-07
OR5AO1P,4.6961314741396683e-07
OPALIN,4.693017680432099e-07
MIR6739,4.6835113648597454e-07
